VariableCode,RegionCode,YearCode,AggValue
rgdpe,AUT,2008,387194.71875000000000000
rgdpe,AUT,2009,382414.06250000000000000
rgdpe,AUT,2010,392208.28125000000000000
rgdpe,AUT,2011,411183.78125000000000000
rgdpe,AUT,2012,421391.21875000000000000
rgdpe,AUT,2013,423862.15625000000000000
rgdpe,AUT,2014,429092.78125000000000000
rgdpe,AUT,2015,448794.71875000000000000
rgdpe,AUT,2016,466582.81250000000000000
rgdpe,AUT,2017,480926.90625000000000000
rgdpe,AUT,2018,492542.71875000000000000
rgdpe,AUT,2019,498022.25000000000000000
rgdpe,AZE,1990,57294.92968750000000000
rgdpe,AZE,1991,70101.76562500000000000
rgdpe,AZE,1992,49601.32031250000000000
rgdpe,AZE,1993,40437.66015625000000000
rgdpe,AZE,1994,29176.79687500000000000
rgdpe,AZE,1995,19752.68164062500000000
rgdpe,AZE,1996,19205.01171875000000000
rgdpe,AZE,1997,18716.38476562500000000
rgdpe,AZE,1998,17830.83789062500000000
rgdpe,AZE,1999,19254.13085937500000000
rgdpe,AZE,2000,23163.61718750000000000
rgdpe,AZE,2001,26166.26757812500000000
rgdpe,AZE,2002,25994.14453125000000000
rgdpe,AZE,2003,26988.68359375000000000
rgdpe,AZE,2004,29014.09960937500000000
rgdpe,AZE,2005,43365.71093750000000000
rgdpe,AZE,2006,64479.02734375000000000
rgdpe,AZE,2007,87452.18750000000000000
rgdpe,AZE,2008,114055.23437500000000000
rgdpe,AZE,2009,107784.38281250000000000
rgdpe,AZE,2010,132335.04687500000000000
rgdpe,AZE,2011,168393.93750000000000000
rgdpe,AZE,2012,175529.92187500000000000
rgdpe,AZE,2013,161220.28125000000000000
rgdpe,AZE,2014,175447.14062500000000000
rgdpe,AZE,2015,140176.64062500000000000
rgdpe,AZE,2016,136323.21875000000000000
rgdpe,AZE,2017,146868.15625000000000000
rgdpe,AZE,2018,164611.26562500000000000
rgdpe,AZE,2019,162126.18750000000000000
rgdpe,BDI,1960,2000.56591796875000000
rgdpe,BDI,1961,1731.14050292969000000
rgdpe,BDI,1962,1880.77966308594000000
rgdpe,BDI,1963,1941.99304199219000000
rgdpe,BDI,1964,2004.08813476563000000
rgdpe,BDI,1965,2070.44531250000000000
rgdpe,BDI,1966,2105.32324218750000000
rgdpe,BDI,1967,2362.72485351563000000
rgdpe,BDI,1968,2375.90869140625000000
rgdpe,BDI,1969,2265.70849609375000000
rgdpe,BDI,1970,2837.25878906250000000
rgdpe,BDI,1971,2873.84741210938000000
rgdpe,BDI,1972,2629.78002929688000000
rgdpe,BDI,1973,2883.73730468750000000
rgdpe,BDI,1974,2828.43212890625000000
rgdpe,BDI,1975,2755.06909179688000000
rgdpe,BDI,1976,3243.33276367188000000
rgdpe,BDI,1977,3886.88891601563000000
rgdpe,BDI,1978,3646.10644531250000000
rgdpe,BDI,1979,3726.09545898438000000
rgdpe,BDI,1980,3710.95092773438000000
rgdpe,BDI,1981,3931.31958007813000000
rgdpe,BDI,1982,3872.60058593750000000
rgdpe,BDI,1983,4059.48657226563000000
rgdpe,BDI,1984,4170.14550781250000000
rgdpe,BDI,1985,4619.54199218750000000
rgdpe,BDI,1986,4840.17822265625000000
rgdpe,BDI,1987,4749.25146484375000000
rgdpe,BDI,1988,5122.13330078125000000
rgdpe,BDI,1989,4909.63427734375000000
rgdpe,BDI,1990,4961.14843750000000000
rgdpe,BDI,1991,5168.31445312500000000
rgdpe,BDI,1992,5020.69287109375000000
rgdpe,BDI,1993,4704.76855468750000000
rgdpe,BDI,1994,4884.60986328125000000
rgdpe,BDI,1995,4474.45410156250000000
rgdpe,BDI,1996,4209.47216796875000000
rgdpe,BDI,1997,4276.71044921875000000
rgdpe,BDI,1998,4554.05468750000000000
